Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-06-15,1957.949951,2019.000000,1957.949951,2000.050049,1275.597290,410026,0.000000,0.000000
2012-06-18,2012.000000,2043.900024,1976.800049,1994.000000,1271.738525,245442,0.000000,0.000000
2012-06-19,1982.000000,2014.300049,1982.000000,2000.400024,1275.820312,289973,0.000000,0.000000
2012-06-20,2007.000000,2055.000000,2003.650024,2035.800049,1298.397827,397108,0.000000,0.000000
2012-06-21,2028.000000,2080.649902,2019.750000,2071.649902,1321.262451,352542,0.000000,0.000000
2012-06-22,2055.050049,2112.000000,2055.000000,2086.100098,1330.478638,505816,0.000000,0.000000
2012-06-25,2074.050049,2108.750000,2021.300049,2030.800049,1295.208862,291067,0.000000,0.000000
2012-06-26,2021.000000,2060.000000,2010.000000,2050.449951,1307.741577,299434,0.000000,0.000000
2012-06-27,2060.000000,2071.250000,2043.000000,2054.899902,1310.579468,173035,0.000000,0.000000
2012-06-28,2067.000000,2099.000000,2040.000000,2087.000000,1331.052002,334237,0.000000,0.000000
2012-06-29,2097.000000,2160.000000,2094.000000,2149.399902,1370.849854,367416,0.000000,0.000000
2012-07-02,2148.000000,2148.000000,2106.100098,2114.350098,1348.495972,327541,0.000000,0.000000
2012-07-03,2114.350098,2138.000000,2083.449951,2096.500000,1337.111328,360037,0.000000,0.000000
2012-07-04,2100.000000,2125.000000,2098.100098,2115.100098,1348.973999,176569,0.000000,0.000000
2012-07-05,2106.399902,2132.199951,2106.399902,2121.149902,1352.832886,208820,0.000000,0.000000
2012-07-06,2118.000000,2132.399902,2072.600098,2082.050049,1327.895386,322363,0.000000,0.000000
2012-07-09,2073.000000,2082.300049,2022.000000,2027.050049,1292.817383,362749,0.000000,0.000000
2012-07-10,2027.000000,2067.399902,2027.000000,2064.750000,1316.861694,184155,0.000000,0.000000
2012-07-11,2064.750000,2077.750000,2032.199951,2036.349976,1298.748535,266366,0.000000,0.000000
2012-07-12,2029.000000,2075.000000,2020.199951,2062.899902,1315.681763,280626,0.000000,0.000000
2012-07-13,2065.000000,2090.000000,2065.000000,2086.750000,1330.892822,173741,0.000000,0.000000
2012-07-16,2098.000000,2111.899902,2081.250000,2095.649902,1336.568848,150739,0.000000,0.000000
2012-07-17,2111.000000,2121.149902,2093.699951,2097.100098,1337.494141,295022,0.000000,0.000000
2012-07-18,2086.000000,2124.000000,2060.000000,2113.899902,1348.208618,165175,0.000000,0.000000
2012-07-19,2135.000000,2135.699951,2066.300049,2088.699951,1332.136597,966016,0.000000,0.000000
2012-07-20,2063.000000,2097.350098,2041.449951,2082.000000,1327.863281,519315,0.000000,0.000000
2012-07-23,2061.100098,2083.350098,2043.250000,2052.199951,1308.857300,333826,0.000000,0.000000
2012-07-24,2053.100098,2064.000000,2026.099976,2035.250000,1298.047241,401269,0.000000,0.000000
2012-07-25,2037.000000,2045.000000,2015.000000,2031.500000,1295.655518,246390,0.000000,0.000000
2012-07-26,2035.000000,2047.900024,2015.000000,2037.849976,1299.705322,378172,0.000000,0.000000
2012-07-27,2050.000000,2064.600098,1978.599976,2010.050049,1281.974976,426103,0.000000,0.000000
2012-07-30,2020.000000,2037.000000,2005.349976,2031.500000,1295.655518,153133,0.000000,0.000000
2012-07-31,2035.000000,2040.000000,1990.500000,2005.000000,1278.754272,250683,0.000000,0.000000
2012-08-01,2011.250000,2014.199951,1963.099976,1974.650024,1259.397339,650600,0.000000,0.000000
2012-08-02,1949.949951,1982.500000,1926.750000,1962.699951,1251.776001,469751,0.000000,0.000000
2012-08-03,1959.949951,1973.300049,1949.550049,1959.099976,1249.479980,287375,0.000000,0.000000
2012-08-06,1980.000000,1985.000000,1962.449951,1978.750000,1262.012573,247562,0.000000,0.000000
2012-08-07,1947.699951,1957.300049,1941.099976,1952.250000,1274.086060,401004,45.000000,0.000000
2012-08-08,1960.000000,1973.800049,1951.000000,1963.199951,1281.232300,289917,0.000000,0.000000
2012-08-09,1968.000000,1980.000000,1945.050049,1952.400024,1274.183716,300910,0.000000,0.000000
2012-08-10,1949.000000,1959.199951,1898.000000,1912.400024,1248.078735,451977,0.000000,0.000000
2012-08-13,1912.000000,1926.800049,1878.199951,1889.250000,1232.970581,406947,0.000000,0.000000
2012-08-14,1892.250000,1898.000000,1870.050049,1880.150024,1227.031982,505362,0.000000,0.000000
2012-08-16,1890.000000,1939.000000,1889.949951,1929.900024,1259.499756,521471,0.000000,0.000000
2012-08-17,1925.000000,1947.000000,1925.000000,1935.199951,1262.958374,291001,0.000000,0.000000
2012-08-21,1925.000000,1932.000000,1898.099976,1921.050049,1253.723877,511098,0.000000,0.000000
2012-08-22,1911.000000,1954.699951,1911.000000,1935.900024,1263.415405,212863,0.000000,0.000000
2012-08-23,1942.900024,1953.949951,1930.000000,1938.599976,1265.177490,182846,0.000000,0.000000
2012-08-24,1930.050049,1945.000000,1928.349976,1936.000000,1263.480835,105079,0.000000,0.000000
2012-08-27,1937.099976,1945.849976,1910.599976,1930.199951,1259.695435,149762,0.000000,0.000000
2012-08-28,1931.250000,1939.000000,1900.000000,1914.750000,1249.612671,419851,0.000000,0.000000
2012-08-29,1910.250000,1916.000000,1841.099976,1849.050049,1206.734863,594945,0.000000,0.000000
2012-08-30,1840.199951,1874.949951,1793.000000,1823.599976,1190.125854,716015,0.000000,0.000000
2012-08-31,1824.900024,1835.000000,1752.000000,1763.000000,1150.576782,576333,0.000000,0.000000
2012-09-03,1751.099976,1804.949951,1745.000000,1798.949951,1174.038574,386904,0.000000,0.000000
2012-09-04,1784.199951,1813.000000,1776.099976,1807.849976,1179.846802,319544,0.000000,0.000000
2012-09-05,1791.000000,1814.949951,1790.000000,1808.099976,1180.010132,277420,0.000000,0.000000
2012-09-06,1801.000000,1807.800049,1776.000000,1790.000000,1168.197754,274265,0.000000,0.000000
2012-09-07,1811.199951,1814.000000,1783.000000,1799.800049,1174.593384,299062,0.000000,0.000000
2012-09-10,1800.000000,1828.750000,1796.300049,1820.400024,1188.037598,262127,0.000000,0.000000
2012-09-11,1820.000000,1820.000000,1768.449951,1798.349976,1173.646973,436683,0.000000,0.000000
2012-09-12,1801.900024,1803.949951,1778.000000,1787.150024,1166.337402,279248,0.000000,0.000000
2012-09-13,1788.199951,1833.400024,1788.099976,1822.400024,1189.342773,373227,0.000000,0.000000
2012-09-14,1845.000000,1868.000000,1827.000000,1862.550049,1215.545654,369942,0.000000,0.000000
2012-09-17,1875.000000,1924.000000,1857.949951,1919.800049,1252.908203,532648,0.000000,0.000000
2012-09-18,1924.900024,1943.199951,1897.099976,1930.900024,1260.152466,383532,0.000000,0.000000
2012-09-20,1914.900024,1919.900024,1875.000000,1900.400024,1240.247681,386687,0.000000,0.000000
2012-09-21,1900.550049,1934.900024,1900.550049,1922.500000,1254.670288,429835,0.000000,0.000000
2012-09-24,1920.000000,1949.949951,1913.000000,1921.699951,1254.148071,253357,0.000000,0.000000
2012-09-25,1920.000000,1935.800049,1880.000000,1891.699951,1234.569458,202942,0.000000,0.000000
2012-09-26,1889.000000,1931.599976,1871.099976,1919.949951,1253.006104,310618,0.000000,0.000000
2012-09-27,1921.000000,1946.449951,1845.800049,1876.300049,1224.518921,596056,0.000000,0.000000
2012-09-28,1890.000000,1910.699951,1871.000000,1880.300049,1227.129639,300496,0.000000,0.000000
2012-10-01,1892.000000,1905.000000,1872.000000,1880.550049,1227.292969,423894,0.000000,0.000000
2012-10-03,1847.800049,1873.000000,1845.250000,1849.699951,1207.158936,392751,0.000000,0.000000
2012-10-04,1855.000000,1868.900024,1822.000000,1831.400024,1195.216187,592462,0.000000,0.000000
2012-10-05,1843.500000,1850.000000,1662.000000,1810.449951,1181.543945,485283,0.000000,0.000000
2012-10-08,1815.000000,1818.599976,1780.099976,1788.150024,1166.990601,484359,0.000000,0.000000
2012-10-09,1784.000000,1815.000000,1777.800049,1803.400024,1176.942871,302598,0.000000,0.000000
2012-10-10,1794.900024,1831.550049,1787.699951,1814.349976,1184.089355,276598,0.000000,0.000000
2012-10-11,1810.000000,1829.000000,1795.000000,1806.150024,1178.737549,499665,0.000000,0.000000
2012-10-12,1800.050049,1821.800049,1775.150024,1778.849976,1160.921143,219122,0.000000,0.000000
