symbol,longName,sector,industry,marketCap,currentPrice,trailingPE,forwardPE,priceToBook,returnOnEquity,debtToEquity,profitMargins,dividendYield,beta,trailingEps,totalRevenue,bookValue,fiftyTwoWeekHigh,fiftyTwoWeekLow
CANBK,Canara Bank,Financial Services,Banks - Regional,1138366742528,125.5,5.7305937,5.3906317,0.9671403,,,0.43126,3.35,0.498,21.9,460479299584,129.764,162.89,107.12
CANHLIFE,Canara HSBC Life Insurance Company Limited,Financial Services,Insurance - Life,148470890496,156.7,113.55072,82.47369,9.112585,0.08276,15.304,0.01075,0.25,,1.38,122203201536,17.196,166.69,106.0
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,212376682496,2794.0,31.96065,25.239386,6.047305,,0.127,0.29089,0.28,0.368,87.42,22873300992,462.024,2877.3,1500.3
CGCL,Capri Global Capital Limited,Financial Services,Credit Services,271231205376,281.9,24.032396,14.568475,3.7728524,,334.728,0.34958,0.07,-0.017,11.73,32256468992,74.718,284.8,151.1
CARBORUNIV,Carborundum Universal Limited,Industrials,Conglomerates,215271079936,1130.0,101.98556,37.425484,5.5196533,,10.292,0.03849,0.37,0.346,11.08,54361948160,204.723,1306.9,735.2
CARTRADE,CarTrade Tech Limited,Consumer Cyclical,Auto & Truck Dealerships,145633132544,3002.0,64.55914,37.829674,5.7850924,,5.363,0.28656,,0.017,46.5,8073907200,518.92,3290.5,1600.0
CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,188239872000,190.31,17.736254,16.102093,9.875973,0.56996,2.784,0.17066,6.57,0.311,10.73,62250000384,19.27,210.75,170.1
CEATLTD,CEAT Limited,Consumer Cyclical,Auto Parts,134820159488,3333.0,22.83033,14.02581,2.2914824,,64.742,0.03583,1.05,0.464,145.99,164669997056,1454.517,4438.0,3061.2
CEMPRO,Cemindia Projects Limited,Industrials,Engineering & Construction,223152078848,1299.0,37.0825,22.773493,9.2995615,,37.711,0.058920003,0.23,0.82,35.03,102050996224,139.684,1649.2,503.3
CENTRALBK,Central Bank of India,Financial Services,Banks - Regional,281498583040,31.1,6.170635,,0.68812925,0.115600005,,0.27839002,4.46,0.371,5.04,163976839168,45.195,40.92,29.32
CDSL,Central Depository Services (India) Limited,Financial Services,Capital Markets,291471392768,1394.6,61.73528,46.887177,14.87272,0.23913,0.11,0.36923,0.91,0.391,22.59,12353566720,93.769,1673.7,1116.3
CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging,197094719488,900.0,37.31343,28.574287,5.325948,,64.041,0.2212,0.22,-0.045,24.12,23874750464,168.984,1070.1,691.35
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,168073641984,419.5,8.712357,8.590445,1.6127979,,10.274,0.09581,2.86,0.292,48.15,201230696448,260.107,559.0,399.75
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,215921524736,1450.0,5.173583,3.6159601,1.9436867,,17.68,0.054780003,4.27,0.042,280.27,761971015680,746.005,1489.7,698.05
CHOICEIN,Choice International Limited,Financial Services,Capital Markets,169532915712,761.0,71.4554,50.63207,9.002188,,49.768,0.20173,,-0.29,10.65,11299279872,84.535,860.5,568.7
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services,286360633344,1525.0,10.724332,7.984293,1.8529701,,623.156,0.11882,0.09,0.401,142.2,224609206272,823.003,2064.0,1305.0
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1570627387392,1839.0,27.171986,18.730238,5.1443872,,695.283,0.40549,0.11,0.473,67.68,141829603328,357.477,1952.5,1299.4
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1118883938304,1385.0,33.221397,21.820614,3.249244,,1.778,0.12009,0.94,0.078,41.69,280678203392,426.253,1673.0,1165.7
CUB,City Union Bank Limited,Financial Services,Banks - Regional,233072803840,235.24,16.636492,12.154857,2.2059886,,,0.37791002,0.85,0.357,14.14,37122211840,106.637,245.38,147.0375
CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals,88747237376,835.0,38.11045,25.816721,5.606247,,0.135,0.23719,0.72,0.27,21.91,9821100032,148.941,1212.0,652.0
COALINDIA,Coal India Limited,Energy,Thermal Coal,2559689359360,415.35,8.216618,7.3602977,2.1489549,,11.629,0.18138,5.0,-0.047,50.55,1717358952448,193.28,491.25,369.6
COCHINSHIP,Cochin Shipyard Limited,Industrials,Aerospace & Defense,394384408576,1499.1,57.813343,33.53691,6.715164,,28.466,0.13479,0.88,0.582,25.93,50474889216,223.241,1979.9,1187.0
COFORGE,Coforge Limited,Technology,Information Technology Services,873907159040,1972.8,40.484303,27.611197,6.947384,,7.518,0.0964,0.81,0.314,48.73,182260006912,283.963,2021.2,1008.1
COHANCE,Cohance Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,174464385024,456.0,166.42336,46.356018,4.4690986,,9.928,0.04961,,0.613,2.74,21415000064,102.034,1038.9,266.7
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,497516118016,1829.2,36.901352,31.293785,31.406887,,2.993,0.21722999,2.62,0.503,49.57,62042800128,58.242,2446.0,1782.0
CAMS,Computer Age Management Services Limited,Technology,Information Technology Services,186015678464,748.8,37.741936,28.658558,14.057748,,4.863,0.31785,1.71,0.206,19.84,15571265536,53.266,844.9,611.4
CONCORDBIO,Concord Biotech Limited,Healthcare,Biotechnology,148555022336,1420.0,48.88124,33.38081,7.364916,,0.115,0.24844,0.53,0.353,29.05,11083921408,192.806,1704.0,987.0
CONCOR,Container Corporation of India Limited,Industrials,Railroads,386901901312,508.0,31.146538,21.77454,2.989431,,7.39,0.13670999,1.26,0.223,16.31,90851000320,169.932,569.8,421.45
COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs,571439185920,1940.1,31.271759,20.079231,4.549729,,11.469,0.05619,0.57,0.127,62.04,326020104192,426.421,2499.0,1706.5
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts,297114337280,11360.0,58.626205,32.105816,8.302527,,111.011,0.053340003,0.1,0.339,193.77,87168499712,1368.258,11539.0,6324.0
CREDITACC,CreditAccess Grameen Limited,Financial Services,Credit Services,230773735424,1440.0,19.11589,11.133922,2.941531,0.16364999,302.872,0.39812002,,0.087,75.33,30413699072,489.541,1634.0,1113.0
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",149645819904,232.4,,20.737593,5.0448256,,5.797,-0.02688,1.29,0.333,-3.49,83321602048,46.067,335.0,217.4
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,1395701972992,5035.0,58.820095,42.653526,16.468134,,0.431,0.18694,1.31,0.527,85.6,126623801344,305.742,6100.0,3833.0
